Алгоритм,Размер,ТипДанных,Время(мс),Кол-воСравнений
quicksort,100,0,"0,143",859
mergesort,100,0,"0,1562",547
t_quicksort,100,0,"0,0268",0
msd_radix,100,0,"0,3776",0
msd_hybrid,100,0,"0,1656",0
lcp_mergesort,100,0,"0,154",547
quicksort,100,1,"0,148",610
mergesort,100,1,"0,1646",316
t_quicksort,100,1,"0,02",0
msd_radix,100,1,"0,3206",0
msd_hybrid,100,1,"0,2356",0
lcp_mergesort,100,1,"0,1706",316
quicksort,100,2,"0,1078",608
mergesort,100,2,"0,127",430
t_quicksort,100,2,"0,0208",0
msd_radix,100,2,"0,3492",0
msd_hybrid,100,2,"0,164",0
lcp_mergesort,100,2,"0,1234",430
quicksort,200,0,"0,3462",2235
mergesort,200,0,"0,3206",1278
t_quicksort,200,0,"0,0656",0
msd_radix,200,0,"0,7062",0
msd_hybrid,200,0,"0,3266",0
lcp_mergesort,200,0,"0,355",1278
quicksort,200,1,"0,231",1412
mergesort,200,1,"0,3536",732
t_quicksort,200,1,"0,05",0
msd_radix,200,1,"0,7382",0
msd_hybrid,200,1,"0,3162",0
lcp_mergesort,200,1,"0,292",732
quicksort,200,2,"0,2502",1460
mergesort,200,2,"0,3006",1151
t_quicksort,200,2,"0,0534",0
msd_radix,200,2,"0,7078",0
msd_hybrid,200,2,"0,3394",0
lcp_mergesort,200,2,"0,317",1151
quicksort,300,0,"0,4542",2917
mergesort,300,0,"0,5802",2096
t_quicksort,300,0,"0,1092",0
msd_radix,300,0,"0,9896",0
msd_hybrid,300,0,"0,428",0
lcp_mergesort,300,0,"0,5058",2096
quicksort,300,1,"0,3294",2250
mergesort,300,1,"0,504",1180
t_quicksort,300,1,"0,0764",0
msd_radix,300,1,"1,022",0
msd_hybrid,300,1,"0,4142",0
lcp_mergesort,300,1,"0,477",1180
quicksort,300,2,"0,3976",2300
mergesort,300,2,"0,5512",1893
t_quicksort,300,2,"0,0864",0
msd_radix,300,2,"1,0454",0
msd_hybrid,300,2,"0,4242",0
lcp_mergesort,300,2,"0,4942",1893
quicksort,400,0,"0,5884",4413
mergesort,400,0,"0,7666",2964
t_quicksort,400,0,"0,1352",0
msd_radix,400,0,"1,4942",0
msd_hybrid,400,0,"0,5758",0
lcp_mergesort,400,0,"0,7348",2964
quicksort,400,1,"0,5004",3214
mergesort,400,1,"0,7292",1664
t_quicksort,400,1,"0,1072",0
msd_radix,400,1,"1,649",0
msd_hybrid,400,1,"0,5332",0
lcp_mergesort,400,1,"0,6616",1664
quicksort,400,2,"0,5218",3225
mergesort,400,2,"0,6798",2567
t_quicksort,400,2,"0,104",0
msd_radix,400,2,"2,1558",0
msd_hybrid,400,2,"0,563",0
lcp_mergesort,400,2,"0,875",2567
quicksort,500,0,"0,8484",5783
mergesort,500,0,"1,0534",3865
t_quicksort,500,0,"0,171",0
msd_radix,500,0,"2,129",0
msd_hybrid,500,0,"0,717",0
lcp_mergesort,500,0,"0,9616",3865
quicksort,500,1,"0,597",4014
mergesort,500,1,"0,946",2216
t_quicksort,500,1,"0,1336",0
msd_radix,500,1,"1,5708",0
msd_hybrid,500,1,"0,716",0
lcp_mergesort,500,1,"1,011",2216
quicksort,500,2,"0,5662",4064
mergesort,500,2,"0,9604",3329
t_quicksort,500,2,"0,2108",0
msd_radix,500,2,"1,6926",0
msd_hybrid,500,2,"0,7938",0
lcp_mergesort,500,2,"0,952",3329
quicksort,600,0,"0,98",7234
mergesort,600,0,"1,3592",4790
t_quicksort,600,0,"0,257",0
msd_radix,600,0,"1,9634",0
msd_hybrid,600,0,"0,8398",0
lcp_mergesort,600,0,"1,1414",4790
quicksort,600,1,"0,7696",5084
mergesort,600,1,"1,0586",2660
t_quicksort,600,1,"0,2082",0
msd_radix,600,1,"1,9026",0
msd_hybrid,600,1,"0,7124",0
lcp_mergesort,600,1,"1,0934",2660
quicksort,600,2,"0,7204",5150
mergesort,600,2,"1,1134",4127
t_quicksort,600,2,"0,1832",0
msd_radix,600,2,"1,9104",0
msd_hybrid,600,2,"0,7588",0
lcp_mergesort,600,2,"1,074",4127
quicksort,700,0,"1,1402",8435
mergesort,700,0,"1,4732",5738
t_quicksort,700,0,"0,3102",0
msd_radix,700,0,"2,3094",0
msd_hybrid,700,0,"0,8822",0
lcp_mergesort,700,0,"1,5838",5738
quicksort,700,1,"0,8792",6184
mergesort,700,1,"1,3712",3172
t_quicksort,700,1,"0,223",0
msd_radix,700,1,"2,2156",0
msd_hybrid,700,1,"0,8132",0
lcp_mergesort,700,1,"1,2638",3172
quicksort,700,2,"0,9308",6232
mergesort,700,2,"1,487",4877
t_quicksort,700,2,"0,211",0
msd_radix,700,2,"2,254",0
msd_hybrid,700,2,"1,054",0
lcp_mergesort,700,2,"1,4476",4877
quicksort,800,0,"1,252",10441
mergesort,800,0,"1,7606",6729
t_quicksort,800,0,"0,3642",0
msd_radix,800,0,"2,6484",0
msd_hybrid,800,0,"0,9506",0
lcp_mergesort,800,0,"1,684",6729
quicksort,800,1,"1,0576",7216
mergesort,800,1,"1,5604",3728
t_quicksort,800,1,"0,2446",0
msd_radix,800,1,"2,5098",0
msd_hybrid,800,1,"0,9326",0
lcp_mergesort,800,1,"1,4822",3728
quicksort,800,2,"1,0168",7331
mergesort,800,2,"1,5942",5912
t_quicksort,800,2,"0,2984",0
msd_radix,800,2,"2,5154",0
msd_hybrid,800,2,"1,0264",0
lcp_mergesort,800,2,"1,5932",5912
quicksort,900,0,"1,3876",10807
mergesort,900,0,"1,896",7709
t_quicksort,900,0,"0,3586",0
msd_radix,900,0,"2,9858",0
msd_hybrid,900,0,"1,0518",0
lcp_mergesort,900,0,"1,8224",7709
quicksort,900,1,"1,0332",8116
mergesort,900,1,"1,7686",4304
t_quicksort,900,1,"0,2762",0
msd_radix,900,1,"2,676",0
msd_hybrid,900,1,"1,03",0
lcp_mergesort,900,1,"1,7242",4304
quicksort,900,2,"1,111",8230
mergesort,900,2,"1,7544",6971
t_quicksort,900,2,"0,2986",0
msd_radix,900,2,"2,758",0
msd_hybrid,900,2,"1,0912",0
lcp_mergesort,900,2,"1,6828",6971
quicksort,1000,0,"1,5088",12955
mergesort,1000,0,"2,133",8713
t_quicksort,1000,0,"0,4036",0
msd_radix,1000,0,"3,1932",0
msd_hybrid,1000,0,"1,2298",0
lcp_mergesort,1000,0,"2,1248",8713
quicksort,1000,1,"1,06",9016
mergesort,1000,1,"1,8904",4932
t_quicksort,1000,1,"0,2816",0
msd_radix,1000,1,"2,9944",0
msd_hybrid,1000,1,"1,2152",0
lcp_mergesort,1000,1,"1,8888",4932
quicksort,1000,2,"1,1488",9275
mergesort,1000,2,"2,0052",7774
t_quicksort,1000,2,"0,3586",0
msd_radix,1000,2,"3,106",0
msd_hybrid,1000,2,"1,2026",0
lcp_mergesort,1000,2,"1,9518",7774
quicksort,1100,0,"1,6874",15101
mergesort,1100,0,"2,326",9770
t_quicksort,1100,0,"0,4954",0
msd_radix,1100,0,"3,5562",0
msd_hybrid,1100,0,"1,2886",0
lcp_mergesort,1100,0,"2,354",9770
quicksort,1100,1,"1,2246",10150
mergesort,1100,1,"2,0908",5420
t_quicksort,1100,1,"0,3646",0
msd_radix,1100,1,"3,3186",0
msd_hybrid,1100,1,"1,2158",0
lcp_mergesort,1100,1,"2,1692",5420
quicksort,1100,2,"1,2596",10350
mergesort,1100,2,"2,2094",8829
t_quicksort,1100,2,"0,3692",0
msd_radix,1100,2,"3,352",0
msd_hybrid,1100,2,"1,1978",0
lcp_mergesort,1100,2,"2,3256",8829
quicksort,1200,0,"2,1672",17200
mergesort,1200,0,"2,6292",10800
t_quicksort,1200,0,"0,5094",0
msd_radix,1200,0,"3,9608",0
msd_hybrid,1200,0,"1,3578",0
lcp_mergesort,1200,0,"2,5966",10800
